,Tribunal,government,Décheterie,public,Departement,Mairie,beauty,arts_centre,cinema,music_school,community_centre,library,museum,theatre,alcohol,bakery,bank,butcher,car,cheese,chocolate,deli,florist,greengrocer,hairdresser,laundry,marketplace,optician,pastry,pharmacy,seafood,supermarket,tobacco,College,Crèche,Lycée,Maternelle,Primaire,University,bar,cafe,casino,commercial,fast_food,food_court,nightclub,pub,restaurant,zoo,dentist,doctors,hospital,laboratory,attraction,hotel,office,park,playground,Pompier,police,post_office,platform,station,church,mosque,cathedral,antiques,books,clothes,convenience,cosmetics,electronics,fashion_accessories,furniture,garden_centre,interior_decoration,jewelry,mall,music,musical_instrument,perfumery,retail,shoes,tea,travel_agency,vacant,vacuum_cleaner,watches,wine,bicycle_parking,bicycle_rental,fitness_centre,sports,sports_centre,sports_hall,swimming_pool,Prix m2,lat,lon
6182,1,1,0,1,1,3,19,3,4,4,4,2,5,7,5,19,0,8,0,1,1,7,6,1,59,1,0,12,4,15,0,22,1,2,6,3,2,5,22,105,49,0,0,98,3,7,8,162,0,20,14,1,8,44,14,2,7,14,2,2,5,48,5,5,1,0,1,16,55,3,4,1,0,1,1,3,8,0,5,2,2,6,15,1,9,2,0,1,1,370,29,12,6,6,0,0,3670.71,50.626929,3.064905
6183,0,1,0,1,0,0,20,0,2,2,2,3,1,7,14,31,0,12,0,5,10,23,11,3,61,0,2,26,7,17,4,21,2,2,3,3,3,6,30,163,81,0,1,133,2,5,10,235,1,32,8,0,5,143,15,3,6,11,1,1,6,43,3,6,0,0,3,18,129,1,11,0,3,0,1,13,27,0,7,4,7,8,34,4,14,0,0,6,1,352,36,12,10,5,0,0,5303.66,50.632876,3.053322
6184,1,0,0,1,0,0,1,2,2,3,3,1,3,2,2,14,0,8,2,1,0,1,1,1,16,1,0,2,3,10,0,8,3,0,3,3,3,4,12,46,29,0,0,42,1,2,3,57,0,15,8,2,2,7,3,1,12,19,2,0,3,56,4,2,2,0,0,6,5,2,0,1,0,1,1,0,1,0,1,2,0,2,1,0,3,1,0,0,0,276,19,2,1,6,0,0,2320.72,50.620655,3.063417
6185,0,0,0,0,0,1,1,0,0,0,6,2,0,2,0,5,0,4,0,0,0,0,1,0,5,1,0,1,0,5,0,3,0,3,0,0,2,2,0,7,7,0,0,6,0,0,2,6,0,1,2,0,1,0,0,0,8,7,0,0,1,19,4,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,88,4,1,0,4,0,0,2255.54,50.630152,3.112424
6186,1,1,0,0,1,0,8,1,0,1,1,1,3,0,6,11,0,4,0,2,4,10,6,0,13,0,1,8,3,5,2,3,0,0,1,2,2,2,3,70,24,0,0,20,0,1,3,118,0,12,2,0,1,71,7,5,9,11,0,0,2,21,0,2,0,1,3,4,89,0,3,0,2,0,0,10,13,0,0,7,3,3,13,1,4,0,0,0,2,110,14,0,0,3,0,2,5458.03,50.645972,3.055371
6187,0,1,0,1,2,1,4,5,0,1,3,4,2,4,0,8,0,4,1,0,1,0,1,0,13,1,2,1,0,8,0,4,0,4,5,2,1,3,4,10,12,1,0,21,0,0,3,39,0,0,2,0,1,0,13,7,7,7,1,2,2,38,6,3,1,0,0,0,11,0,2,0,1,0,0,1,2,1,0,1,1,5,3,0,1,0,0,0,0,212,17,1,2,0,0,2,3298.04,50.6371,3.084758
6188,1,2,0,0,3,2,26,1,3,1,1,2,5,3,9,32,0,4,0,3,13,17,9,1,55,0,1,30,7,17,2,17,0,2,5,5,2,3,27,118,78,1,0,109,2,3,5,269,0,31,6,0,2,212,45,11,7,5,0,1,6,48,7,5,0,1,3,22,202,1,13,0,4,0,0,19,34,2,3,7,8,15,46,4,19,1,0,5,4,316,34,6,9,2,0,2,3241.94,50.639037,3.065188
6189,1,0,0,1,0,0,8,2,2,3,5,2,5,5,6,19,0,16,1,4,1,8,5,3,40,1,2,8,7,15,2,17,4,1,4,3,2,4,12,82,44,0,0,80,1,3,8,120,0,16,8,1,6,10,3,3,8,18,2,0,5,51,6,4,1,0,1,7,19,2,1,1,0,1,1,1,5,0,4,2,0,5,4,2,7,1,0,1,0,322,24,8,3,8,0,0,4258.69,50.623353,3.060921
6190,0,1,0,1,0,0,11,1,0,2,4,2,2,5,7,22,0,11,1,3,1,8,7,3,33,1,2,10,5,14,3,19,2,5,0,3,2,5,27,110,40,0,1,80,0,5,8,123,1,25,3,1,5,17,4,4,6,14,1,1,7,43,6,5,0,0,1,7,19,0,1,0,0,0,1,2,4,0,4,4,0,8,3,2,5,0,0,1,0,296,30,10,5,5,0,0,4772.33,50.630342,3.047395
6191,0,1,0,1,0,0,0,2,0,0,3,4,1,2,0,11,0,3,1,0,0,0,1,0,11,2,1,0,0,9,0,4,0,2,3,2,3,3,0,4,12,0,0,17,0,1,2,18,0,0,5,0,1,0,4,1,2,7,0,0,1,35,4,3,1,0,1,0,3,2,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,129,11,1,0,1,0,1,1908.9,50.624647,3.089697
6192,0,1,0,0,0,0,28,0,3,1,2,3,1,7,12,34,0,4,0,3,12,20,13,1,73,0,1,34,8,20,1,27,1,2,4,7,2,3,36,172,87,0,1,145,2,6,13,291,1,39,12,0,6,200,38,6,6,6,0,1,7,45,5,5,0,1,4,25,207,1,12,0,3,0,0,20,37,1,5,7,8,17,45,5,21,1,0,5,3,375,37,11,11,3,0,1,4511.82,50.635013,3.057245
6193,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,5,0,5,1,0,0,0,0,1,5,0,0,1,1,5,0,1,1,1,2,3,3,3,4,7,8,0,0,22,0,1,1,10,0,6,1,1,0,1,1,0,9,12,0,0,1,27,5,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,117,9,2,0,4,0,0,2943.69,50.614277,3.072839
6194,1,1,0,2,0,0,15,1,3,4,5,4,3,6,8,25,0,12,1,4,1,9,6,3,57,2,2,14,6,16,3,23,3,3,3,3,1,4,35,130,58,0,1,119,2,7,10,181,0,30,13,1,8,33,12,3,3,9,2,1,6,61,4,6,0,0,1,16,53,2,4,0,0,1,1,3,9,0,6,5,1,7,18,2,10,1,0,1,0,393,38,13,9,9,0,0,5399.47,50.628163,3.055931
6195,0,0,0,0,0,1,0,1,0,0,7,2,0,1,0,4,0,2,0,0,0,0,1,0,4,1,0,1,0,2,0,2,0,3,0,0,3,3,0,4,4,0,0,5,0,0,2,6,0,1,2,0,1,0,0,0,4,9,0,0,1,18,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,76,4,1,0,4,0,0,2625.7,50.624724,3.113988
