,Tribunal,government,Décheterie,public,Departement,Mairie,beauty,arts_centre,cinema,music_school,community_centre,library,museum,theatre,alcohol,bakery,bank,butcher,car,cheese,chocolate,deli,florist,greengrocer,hairdresser,laundry,marketplace,optician,pastry,pharmacy,seafood,supermarket,tobacco,College,Crèche,Lycée,Maternelle,Primaire,University,bar,cafe,casino,commercial,fast_food,food_court,nightclub,pub,restaurant,zoo,dentist,doctors,hospital,laboratory,attraction,hotel,office,park,playground,Pompier,police,post_office,platform,station,church,mosque,cathedral,antiques,books,clothes,convenience,cosmetics,electronics,fashion_accessories,furniture,garden_centre,interior_decoration,jewelry,mall,music,musical_instrument,perfumery,retail,shoes,tea,travel_agency,vacant,vacuum_cleaner,watches,wine,bicycle_parking,bicycle_rental,fitness_centre,sports,sports_centre,sports_hall,swimming_pool,Prix m2,lat,lon
0,2,4,0,0,2,0,32,2,6,2,4,2,6,2,20,42,0,8,0,6,24,36,16,0,80,0,2,52,10,28,4,28,0,2,4,6,4,6,40,264,130,0,2,186,4,12,16,458,2,64,4,0,8,378,42,22,18,20,0,0,10,74,2,10,0,2,6,26,378,2,20,0,6,0,0,38,66,2,6,16,16,18,80,6,28,0,0,10,6,478,62,8,14,6,0,4,6419.59,50.640019,3.055264
1,0,0,0,0,0,0,0,6,0,0,8,2,2,4,0,20,0,4,2,0,0,0,2,0,22,6,0,0,0,12,0,2,0,4,2,4,6,6,0,2,22,0,0,24,0,0,2,16,0,2,10,0,2,0,2,0,10,18,0,0,2,60,6,6,2,0,2,0,4,6,0,0,0,0,0,4,0,0,0,0,2,14,0,0,0,0,0,0,0,202,16,2,0,0,0,2,1933.13,50.623805,3.096227
2,0,0,0,2,0,0,18,2,0,4,6,6,4,8,10,34,0,22,2,6,2,10,10,6,36,2,4,16,8,24,6,26,4,10,0,4,2,8,44,168,58,0,2,124,0,8,12,160,2,38,10,2,10,16,6,8,12,22,0,2,8,78,8,10,0,0,2,10,30,0,2,0,0,0,0,2,6,0,6,6,0,16,2,4,4,0,0,2,0,440,52,8,8,6,0,2,3978.26,50.631589,3.042576
3,2,2,0,1,0,6,40,6,8,8,8,6,10,14,16,48,0,30,2,8,4,20,16,6,124,2,4,40,14,38,4,52,2,4,12,8,4,10,58,268,134,0,2,238,6,14,18,368,0,52,28,2,18,120,20,4,8,20,4,4,14,100,12,12,0,0,2,36,140,6,10,2,0,2,2,8,18,0,14,6,4,7,40,4,26,2,0,4,2,778,65,26,12,12,0,0,3707.39,50.627481,3.062281
4,1,1,0,2,0,0,11,2,1,4,5,3,5,6,7,23,0,16,1,4,1,8,5,3,45,1,2,8,7,16,3,20,4,1,4,3,2,4,14,125,50,0,1,105,1,7,10,147,0,20,9,1,7,19,4,4,5,13,2,0,6,54,6,4,1,0,1,9,22,3,1,1,0,1,1,3,5,0,5,2,1,6,3,2,8,1,0,1,0,345,30,10,3,10,0,0,4724.9,50.624764,3.058584
5,0,0,0,1,0,0,2,2,0,1,4,3,3,1,4,17,0,10,2,3,1,5,3,4,9,2,2,4,3,11,3,8,1,4,3,3,2,6,19,31,23,0,0,35,0,0,2,41,0,13,3,3,2,5,1,2,3,26,0,1,6,44,3,4,0,0,0,2,6,0,0,0,0,0,0,0,1,0,1,2,0,9,1,1,2,0,0,1,0,180,18,4,2,6,0,1,5134.59,50.626158,3.037487
6,0,0,0,1,0,0,9,1,0,2,4,3,2,5,7,21,0,13,3,3,1,7,6,4,30,2,2,7,5,17,3,20,4,5,2,3,1,4,21,81,37,0,1,69,0,1,8,100,0,14,3,3,3,8,3,5,5,24,1,1,8,51,6,5,1,0,1,6,18,0,1,0,0,0,1,1,4,0,4,3,0,11,3,2,4,0,0,1,0,272,27,8,4,6,0,1,5906.77,50.625517,3.045792
7,1,2,0,0,1,0,22,1,3,1,2,2,4,5,10,27,0,5,0,3,12,19,10,1,59,0,1,28,5,16,2,22,0,1,2,4,3,3,26,158,74,0,1,122,2,7,12,275,1,37,2,0,5,211,30,9,8,8,0,0,6,44,2,5,0,1,3,17,197,1,11,0,3,0,0,19,35,1,4,8,8,14,45,4,18,0,0,5,4,289,34,8,8,2,0,2,4510.94,50.638434,3.055855
8,0,0,0,1,0,0,0,5,0,0,5,3,1,3,0,14,0,6,1,0,0,0,2,0,16,3,1,1,0,12,0,5,0,3,2,2,3,4,0,12,17,0,0,15,0,0,1,17,0,1,6,0,1,0,0,0,7,8,0,1,1,36,4,5,1,0,1,1,4,3,0,0,0,0,0,1,1,0,0,0,1,9,0,0,0,0,0,0,0,158,9,1,0,1,0,2,1956.26,50.627094,3.099075
9,1,0,0,1,0,0,10,3,1,4,5,1,3,5,6,22,0,16,1,4,1,7,5,4,38,2,2,9,7,16,3,19,4,2,2,4,1,4,6,69,46,0,0,64,0,2,6,97,0,12,3,3,2,7,3,3,6,21,2,2,5,49,5,2,1,0,1,6,22,2,2,1,0,1,1,2,6,1,4,2,0,7,4,2,6,1,0,1,0,275,22,9,4,9,0,0,3568.18,50.62256,3.053785
10,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,9,0,2,1,0,0,0,0,0,5,2,0,1,0,6,0,1,0,3,1,1,2,2,0,1,12,0,0,11,0,0,0,4,0,1,5,0,1,0,0,0,3,9,0,0,1,29,3,3,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,82,6,1,0,0,0,1,4747.85,50.622494,3.098465
11,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,2,1,1,0,0,0,0,1,0,6,0,0,3,0,4,0,1,0,4,1,3,1,2,1,4,2,0,0,6,0,0,0,14,0,1,3,0,1,0,2,0,4,15,0,0,1,19,2,1,0,0,0,0,5,0,3,0,0,0,0,0,4,1,0,0,0,5,0,0,2,0,1,0,0,13,0,0,0,4,0,2,3082.75,50.644658,2.986623
12,0,0,0,0,0,0,2,1,0,0,3,1,1,1,2,4,0,3,0,0,0,0,0,0,10,0,0,2,0,6,1,3,0,1,2,0,0,2,6,6,6,0,0,14,0,0,0,29,0,2,4,1,1,0,0,4,9,5,0,0,1,27,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,134,7,1,0,1,0,1,3659.92,50.634507,3.02763
13,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,8,0,3,1,0,0,0,1,2,5,0,0,2,0,6,1,5,2,1,1,3,5,6,3,2,8,0,0,19,0,0,1,9,0,3,0,7,2,0,2,6,7,23,0,1,2,47,4,2,2,0,0,2,4,0,1,0,0,0,0,1,2,1,0,0,0,4,1,0,2,0,0,0,0,117,9,2,1,5,0,0,2913.24,50.613546,3.047852
14,1,1,0,2,0,1,16,2,3,3,5,3,5,6,8,25,0,15,1,4,1,9,8,3,56,1,2,13,7,17,3,24,3,1,4,2,2,4,24,132,59,0,1,113,2,7,10,168,0,25,14,1,7,23,8,3,4,11,2,1,6,50,4,6,0,0,1,13,39,3,3,1,0,1,1,3,6,0,6,3,1,6,8,2,9,1,0,1,0,386,31,12,5,10,0,0,4825.1,50.626273,3.060101
15,0,0,0,0,1,0,0,3,0,0,1,2,0,1,0,5,0,1,1,0,0,0,0,0,7,0,2,0,0,3,0,1,0,2,2,1,0,4,3,5,7,1,0,9,0,0,1,17,0,0,3,2,2,0,3,5,7,7,1,0,1,27,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,153,11,1,0,0,0,1,4098.18,50.641532,3.088693
16,1,1,0,0,0,0,5,1,0,1,0,1,3,0,4,11,0,3,0,1,3,6,4,0,12,0,1,4,2,3,2,3,0,0,1,2,1,2,4,56,20,0,0,15,0,1,3,76,1,15,2,0,1,60,5,5,9,10,0,0,2,22,0,2,0,1,2,3,40,0,1,0,1,0,0,8,3,0,0,2,1,2,6,0,2,0,0,0,2,105,14,0,1,2,0,2,7540.8,50.644807,3.051726
17,1,0,0,1,0,0,1,2,2,2,3,1,2,2,0,14,0,6,2,1,0,1,1,1,16,1,0,1,3,10,1,7,3,0,3,4,4,4,8,35,26,0,0,41,1,2,2,48,0,9,2,2,2,5,2,1,12,16,2,1,3,62,4,1,3,0,0,4,4,2,0,1,0,1,1,0,1,0,1,2,0,3,1,0,2,1,0,0,0,258,18,2,1,7,0,0,2229.42,50.619405,3.062097
18,0,0,0,0,0,0,4,0,0,0,2,0,1,1,2,6,0,4,1,0,0,2,1,1,14,0,0,4,0,7,1,3,0,0,0,0,2,4,3,7,7,0,0,17,0,0,0,25,0,2,2,1,0,0,0,3,7,10,0,1,1,18,3,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,114,7,1,0,3,0,1,2756.66,50.638921,3.019072
19,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,2,1,1,0,0,1,0,0,0,4,0,0,1,0,3,0,3,0,1,1,0,1,1,0,3,2,0,0,4,0,0,0,2,0,1,3,0,1,0,0,1,3,10,0,0,1,20,2,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,0,16,0,0,0,3,0,1,2717.84,50.639518,2.994497
20,0,0,0,0,0,1,0,2,0,0,7,2,0,1,0,5,0,2,0,0,0,0,1,0,5,1,0,1,0,4,0,3,0,3,0,0,3,3,0,5,5,0,0,6,0,0,2,7,0,1,3,0,1,0,0,0,4,9,0,0,1,23,5,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,91,4,1,0,4,0,0,1805.84,50.624578,3.110825
21,0,1,0,1,0,0,0,4,0,0,3,4,1,2,0,8,0,6,0,0,0,0,1,0,11,2,2,0,0,8,0,4,0,3,2,3,1,4,1,10,11,0,0,13,0,0,3,17,0,0,1,0,0,0,1,2,5,6,1,1,1,24,4,4,2,0,1,0,4,0,0,0,0,0,0,1,1,0,0,1,1,6,0,0,0,0,0,0,0,158,8,1,0,0,0,2,6203.31,50.635596,3.096169
22,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,2,1,1,0,0,1,0,1,0,8,0,0,1,0,4,0,2,1,4,1,4,2,2,1,4,2,0,0,6,0,0,0,6,0,2,5,0,1,0,0,1,1,9,1,0,1,24,3,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,5,1,0,1,0,1,0,0,19,0,0,0,4,0,3,3054.5,50.644933,2.994718
23,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,9,0,3,1,0,0,0,1,0,8,3,0,0,0,6,0,1,0,3,1,2,3,2,0,1,12,0,0,12,0,0,1,7,0,1,5,0,1,0,0,0,4,9,0,0,1,30,3,3,1,0,1,0,1,3,0,0,0,0,0,2,0,0,0,0,1,7,0,0,0,0,0,0,0,99,8,1,0,0,0,1,2560.28,50.623315,3.097206
24,0,0,0,1,0,0,7,1,0,2,3,3,2,3,4,17,0,12,3,3,1,5,5,4,17,2,2,6,5,13,3,13,2,5,2,3,3,5,19,47,30,0,0,48,0,0,2,63,0,15,3,2,4,5,3,3,4,27,1,1,8,40,5,4,1,0,1,3,12,0,1,0,0,0,0,1,3,0,3,3,0,10,1,1,3,0,0,1,0,228,21,6,3,6,0,1,4331.71,50.626962,3.041652
25,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,1,0,3,1,1,1,0,0,2,0,0,0,5,0,0,2,2,2,0,0,0,6,5,0,0,1,12,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,4,0,0,0,0,1,3276.41,50.646324,3.093165
26,0,1,0,0,3,1,11,2,1,0,2,0,3,1,2,10,0,3,1,1,3,0,2,1,19,0,1,13,4,10,0,9,0,3,3,3,1,3,10,34,23,1,0,49,0,1,4,117,0,14,1,2,2,54,34,9,7,8,1,1,4,38,7,3,1,0,0,10,92,0,3,0,1,0,0,7,11,2,1,7,2,11,15,2,10,1,0,0,1,195,19,2,5,0,0,0,4618.98,50.640187,3.077826
27,1,1,0,2,0,0,15,2,3,4,5,4,4,5,8,27,0,14,1,4,1,9,6,3,56,2,2,14,7,17,3,23,3,3,3,3,1,4,32,132,57,0,1,116,2,7,9,178,0,27,9,1,7,26,11,3,4,9,2,1,6,58,4,6,1,0,1,16,47,2,3,1,0,1,1,3,6,0,6,5,1,7,14,2,10,1,0,1,0,393,34,13,8,9,0,0,6914.44,50.627501,3.05652
28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,1,0,0,0,7,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0,0,0,0,1,4255.77,50.655904,3.08816
29,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,3,0,2,3,8,0,5,0,0,5,0,0,0,4,0,0,0,11,1,0,1,3,1,12,0,0,1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,48,3,0,0,3,0,0,4608.38,50.614584,3.028862
30,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,2,1,0,0,0,1,1,1,0,0,2,0,2,1,1,0,2,1,2,4,3,0,0,2,0,0,2,0,0,0,2,0,1,0,0,0,0,1,2,6,18,0,0,0,16,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,60,2,1,1,2,1,0,2762.85,50.607656,3.05885
31,0,0,0,0,0,0,3,1,0,0,2,0,0,1,1,6,0,4,1,0,0,2,1,2,12,0,0,4,0,7,1,5,0,0,0,0,3,6,2,4,7,0,0,16,0,0,0,20,0,1,2,0,0,0,0,3,6,16,0,1,1,28,2,2,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,5,2,0,1,0,0,0,0,95,7,0,0,4,0,1,1435.5,50.636951,3.01091
32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,1,0,0,0,0,1,1,0,0,2,0,2,1,1,0,2,1,2,4,4,0,0,2,0,0,1,0,0,0,2,0,1,0,0,0,0,1,2,7,18,0,0,0,16,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,61,2,1,1,2,1,0,3323.68,50.607663,3.058972
33,0,0,0,1,0,0,0,5,0,0,7,3,1,3,0,14,0,7,1,0,0,0,1,0,13,2,1,1,0,10,0,4,0,3,2,2,4,5,0,13,16,0,0,11,0,0,2,18,0,1,4,0,1,0,0,0,7,7,1,1,1,28,3,6,1,0,1,1,4,3,0,0,0,0,0,1,1,0,0,0,1,10,0,0,0,0,0,0,0,177,9,1,0,1,0,2,4151.64,50.630937,3.100532
34,0,0,0,0,0,0,0,2,0,0,3,1,1,1,0,8,0,2,1,0,0,0,1,0,7,3,0,0,0,6,0,2,0,2,2,2,3,3,0,1,9,0,0,11,0,0,0,5,0,0,5,0,1,0,2,0,2,7,0,0,1,31,2,3,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,87,8,1,0,1,0,1,2284.27,50.622727,3.092936
35,0,0,0,1,0,0,7,1,0,2,4,4,2,4,4,16,0,11,2,3,1,5,5,4,16,2,2,6,5,11,3,11,2,5,2,2,1,6,21,41,27,0,0,42,0,0,2,52,0,15,3,2,3,5,3,3,5,21,0,1,5,44,5,4,0,0,1,2,11,0,1,0,0,0,0,1,3,0,2,3,0,10,1,1,3,0,0,1,0,212,22,5,3,6,0,1,4570.18,50.627868,3.04048
36,0,1,0,1,1,3,4,6,0,1,4,4,2,4,0,12,0,4,1,0,1,0,1,0,14,1,2,1,0,10,0,6,0,4,7,3,1,5,4,9,12,1,0,24,0,0,3,43,0,0,2,0,1,0,13,7,6,7,1,2,1,34,6,4,1,0,0,0,11,1,2,0,1,0,0,1,2,1,0,1,1,4,3,0,1,0,0,0,0,224,17,1,2,0,0,2,6527.57,50.635075,3.085185
37,0,0,0,0,0,0,4,1,0,0,2,0,0,1,2,6,0,4,1,0,0,2,1,2,13,0,0,4,0,7,1,4,0,0,0,0,3,6,2,4,7,0,0,17,0,0,0,23,0,1,2,0,0,0,0,4,5,13,0,1,1,24,2,2,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,5,2,0,2,0,0,0,0,97,7,1,0,4,0,1,3040.74,50.637615,3.012357
38,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,3,0,2,3,8,1,1,0,0,5,0,0,0,1,0,1,0,13,2,0,1,5,1,12,0,0,0,25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,51,3,0,0,3,0,0,3952.96,50.606553,3.039257
39,0,0,0,0,0,0,4,2,0,0,3,0,1,1,2,8,0,5,0,0,0,1,0,1,13,0,0,3,0,7,1,3,0,0,2,0,3,7,3,6,7,0,0,18,0,0,0,25,0,2,3,0,0,0,0,3,9,16,0,1,2,34,1,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,127,7,1,0,4,0,1,3687.09,50.63342,3.016269
40,0,0,0,1,0,0,9,1,0,2,5,3,2,5,7,21,0,13,3,3,1,7,6,4,33,2,2,7,5,18,3,21,4,5,2,3,1,4,22,96,37,0,1,74,0,3,9,111,0,15,3,3,5,9,3,6,4,22,1,1,8,52,6,6,1,0,1,6,19,0,1,0,0,0,1,1,4,0,4,4,0,11,3,2,5,0,0,1,0,287,28,8,4,6,0,1,5134.92,50.626363,3.045625
41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,1,1,1,3,2,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,2,3,17,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46,1,0,0,1,1,0,1829.82,50.604775,3.056153
42,0,0,0,1,0,0,2,2,0,1,2,3,1,2,0,12,0,2,2,0,0,0,2,0,7,2,0,1,0,9,1,5,1,4,4,0,0,3,21,15,13,0,0,21,0,0,1,35,0,7,3,1,1,4,0,4,8,17,0,1,4,39,3,4,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,0,8,0,0,0,0,0,0,0,166,15,1,2,4,0,1,4707.78,50.62818,3.033926
43,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,1,0,4,0,0,2,0,3,0,2,0,4,0,0,1,2,0,3,1,0,0,3,0,0,0,4,0,1,2,0,1,0,2,1,4,10,0,0,1,16,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,6,0,0,1,0,0,0,0,4,0,0,0,1,0,2,3755.91,50.642111,2.979853
44,0,0,0,0,0,0,4,0,0,0,2,0,0,1,2,5,0,3,1,0,0,2,1,1,15,0,0,4,0,5,1,3,0,0,0,0,1,4,3,5,7,0,0,15,0,0,0,23,0,1,2,0,0,0,1,3,3,10,0,1,1,15,2,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,4,2,0,2,0,0,0,0,100,5,1,0,0,0,1,3108.54,50.6398,3.018594
45,0,0,0,0,0,0,1,1,1,0,2,1,0,0,0,2,1,1,0,0,1,0,1,0,7,0,0,3,0,3,0,2,0,4,1,4,1,1,1,4,2,0,0,6,0,0,0,17,0,1,4,0,1,0,2,0,2,11,1,0,1,20,2,1,1,0,0,0,8,0,3,0,0,0,0,0,4,1,0,0,0,4,0,0,2,0,1,0,0,19,0,0,0,4,0,2,2130.31,50.647517,2.988888
46,0,0,0,1,0,0,0,2,0,0,2,1,1,2,0,9,0,3,1,0,0,0,1,0,11,3,0,0,0,9,0,2,0,2,2,2,3,3,0,4,12,0,0,17,0,0,1,16,0,0,5,0,1,0,3,0,2,6,0,0,1,31,3,3,1,0,1,0,3,2,0,0,0,0,0,2,1,0,0,0,1,3,0,0,0,0,0,0,0,107,9,1,0,1,0,1,2975.5,50.62388,3.092177
47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,8,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,1,2815.48,50.634564,2.990245
48,0,0,0,0,0,1,1,0,0,0,5,2,0,2,0,4,0,4,0,0,0,0,0,0,3,1,0,0,0,3,0,1,0,3,0,0,1,2,0,6,3,0,0,4,0,0,0,4,0,1,2,0,1,0,0,0,7,2,0,0,0,10,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,65,3,1,0,4,0,0,3055.76,50.635035,3.113277
49,0,1,0,1,1,1,4,4,0,0,3,4,2,3,0,7,0,3,1,0,1,0,1,0,11,0,2,1,0,7,0,3,0,2,2,2,1,2,4,9,11,1,0,19,0,0,3,31,0,0,2,2,1,0,8,7,5,7,1,2,1,29,5,4,1,0,0,0,10,0,2,0,1,0,0,1,2,1,0,1,1,4,3,0,1,0,0,0,0,182,13,1,1,0,0,1,3758.96,50.638462,3.08636
50,0,0,0,0,0,0,0,2,0,0,2,1,0,2,0,6,0,3,1,0,0,0,0,1,4,0,0,1,1,4,1,1,1,1,2,5,5,3,2,6,9,0,0,20,0,0,1,11,0,4,1,0,0,1,1,0,9,15,0,0,0,29,4,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,104,6,1,0,3,0,0,2617.15,50.612574,3.066719
51,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,2,1,1,8,0,0,2,0,4,0,3,1,0,1,4,1,2,1,2,3,0,0,4,0,0,0,8,0,3,3,0,0,0,1,1,1,10,1,1,1,14,3,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,0,27,2,0,0,1,0,2,3262.9,50.64651,3.005282
52,1,1,0,0,1,0,10,1,0,1,1,1,4,0,7,16,0,4,0,3,10,14,7,0,22,0,1,13,5,7,2,5,0,0,1,2,2,2,7,82,40,0,0,33,0,2,6,161,0,20,2,0,1,155,11,8,9,8,0,0,3,25,0,2,0,1,3,7,136,0,6,0,3,0,0,15,29,1,0,7,5,7,24,3,8,0,0,4,3,141,16,0,1,2,0,2,3351.63,50.645244,3.06118
53,1,0,0,1,0,0,11,1,0,4,6,2,2,5,7,24,0,13,2,4,1,8,6,4,39,2,2,9,5,16,3,21,4,4,2,4,1,5,22,111,47,0,1,86,0,6,9,129,0,19,3,3,5,12,5,5,4,19,1,1,8,57,5,5,1,0,1,9,21,1,1,0,0,1,1,1,5,0,4,5,0,10,3,2,5,1,0,1,0,307,30,9,5,6,0,0,2916.21,50.625418,3.050536
54,1,2,0,0,2,2,27,1,3,1,1,2,5,2,10,32,0,4,0,3,13,18,10,1,63,0,1,30,7,18,2,23,0,2,5,5,2,3,27,149,81,0,1,126,2,7,11,290,0,36,9,0,4,212,46,9,7,8,0,1,7,50,7,6,0,1,3,22,203,1,13,0,4,0,0,19,35,2,4,8,8,16,48,4,20,1,0,5,3,333,37,8,10,2,0,2,4684.51,50.638238,3.063146
55,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,3,1,0,0,0,4,0,2,0,0,2,1,1,3,2,1,4,0,0,11,0,1,0,4,0,0,4,1,1,0,3,0,3,7,0,0,1,24,2,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,79,7,1,0,1,0,0,2775.96,50.620095,3.087257
56,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,1,2,3,2,2,4,2,3,0,0,20,0,0,1,8,0,3,3,1,0,1,1,0,5,9,0,0,0,20,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,78,6,2,0,3,0,0,3501.36,50.613341,3.077193
57,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,1,0,3,1,1,1,0,0,1,0,0,0,6,0,0,2,2,2,0,0,0,6,5,0,0,1,13,1,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59,4,0,0,0,0,1,5679.34,50.649436,3.088269
58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,3,7,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,4,0,0,4375.02,50.629465,2.997916
59,0,0,0,0,0,0,4,0,0,0,2,0,0,1,2,5,0,3,1,0,0,2,1,1,15,0,0,4,0,5,1,4,0,0,0,0,2,4,2,4,7,0,0,15,0,0,0,24,0,1,2,0,0,0,1,4,5,12,0,1,1,17,2,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,4,2,0,2,0,0,0,0,98,5,1,0,2,0,1,2189.23,50.639589,3.016223
60,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,3,0,1,3,7,0,4,0,0,5,0,0,0,4,0,0,0,9,1,0,1,3,2,11,0,0,1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,46,3,0,0,4,0,0,2184.58,50.616283,3.026727
61,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,3,1,0,0,0,1,1,2,0,0,1,0,2,1,1,0,1,2,2,4,3,0,1,2,0,0,4,0,0,0,0,0,2,0,0,1,0,1,3,4,21,0,0,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,55,2,1,0,2,1,0,2537.34,50.60586,3.054489
62,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,1,1,7,0,0,1,0,3,0,2,1,0,1,4,2,2,1,2,2,0,0,4,0,0,0,7,0,2,3,0,1,0,1,1,1,10,1,1,1,12,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,0,24,2,0,0,2,0,2,3264.99,50.646171,3.003578
63,0,0,0,0,0,1,1,0,0,0,6,2,0,2,0,5,0,2,0,0,0,0,1,0,4,1,0,1,0,3,0,2,0,3,0,0,3,3,0,6,4,0,0,5,0,0,2,6,0,1,2,0,1,0,0,0,5,8,0,0,1,19,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,77,4,1,0,4,0,0,2670.3,50.627692,3.115071
