,id_parcelle,code_type_local,lon,lat,adresse_complete,prix_m2
63,593503550C5502,1.0,3.016421,50.637318,75 RUE HENRI GHESQUIERE LOMME 59160,2165.67
64,593503550C5495,1.0,3.008185,50.636077,4 RUE CHARLES SAINT VENANT LOMME 59160,2967.17
65,593503550C5491,1.0,3.008583,50.63621,2 RUE CHARLES SAINT VENANT LOMME 59160,3496.37
66,593503550C5475,1.0,3.015844,50.636748,45 RUE DU VINGTIEME SIECLE 59160,2944.92
67,593503550C5468,2.0,3.011695,50.63641,69 RUE DU MARECHAL FOCH 59160,3297.54
68,593503550C5411,2.0,3.014843,50.640152,54 AV DE LA REPUBLIQUE LOMME 59160,8506.59
69,593503550C5351,2.0,3.015587,50.641927,25 AV DE MONT A CAMP LOMME 59160,4539.41
70,593503550C5335,1.0,3.002934,50.630563,12 RUE DU PARADIS 59160,2740.66
71,593503550C5297,1.0,3.002426,50.630877,8 RUE GUYNEMER LOMME 59160,4441.06
72,593503550C5264,1.0,3.006253,50.629243,61 RUE ALEXANDRE DESROUSSEAUX LOM 59160,3174.47
73,593503550C5261,1.0,3.006157,50.628906,55 RUE ALEXANDRE DESROUSSEAUX LOM 59160,2793.87
74,593503550C5259,1.0,3.006293,50.628849,51 RUE ALEXANDRE DESROUSSEAUX LOM 59160,2845.26
75,593503550C5212,1.0,3.009126,50.632566,54 RUE MARTYRS DE RESISTANCE 59160,3600.94
76,593503550C5189,1.0,3.016247,50.626309,220 RUE VICTOR HUGO LOMME 59160,2295.9
77,593503550C5153,1.0,3.011468,50.641732,22 RUE DE LA PAIX DU 8 MAI 1945 59160,2276.73
78,593503550C5120,2.0,3.009811,50.639621,9001 RES CLAUDE DEBUSSY 59160,1814.6
79,593503550C5081,1.0,3.008413,50.633958,12 IMP THERMOTTE 59160,3355.53
80,593503550C5080,1.0,3.008438,50.633922,14 IMP THERMOTTE 59160,3269.55
81,593503550C5055,1.0,3.015223,50.637468,3 RES DES LAURIERS 59160,3234.09
82,593503550C5054,1.0,3.015576,50.637487,69 RUE DU VINGTIEME SIECLE 59160,3738.82
83,593503550C5049,1.0,3.016005,50.637893,93 RUE HENRI GHESQUIERE LOMME 59160,4362.66
84,593503550C5036,2.0,3.010783,50.635215,86 RUE ANATOLE FRANCE LOMME 59160,4647.02
85,593503550C4904,1.0,3.013716,50.63843,14 RUE LEON CREPY 59160,3210.14
86,593503550C4822,2.0,3.00461,50.632559,16 RUE DE L EGALITE 59160,2943.08
87,593503550C4815,2.0,3.012595,50.628487,135 RUE VICTOR HUGO LOMME 59160,4712.12
88,593503550C4759,1.0,3.016368,50.63822,81 RUE DU VINGTIEME SIECLE 59160,4153.77
89,593503550C4733,1.0,3.012099,50.640333,13 RUE DU COLLEGE 59160,3427.63
90,593503550C4723,1.0,3.011378,50.640344,89 AV DE MONT A CAMP LOMME 59160,3133.09
91,593503550C4709,1.0,3.010552,50.633552,94 RUE MARTYRS DE RESISTANCE 59160,3521.92
92,593503550C4690,1.0,3.007102,50.627604,25 RUE JEAN BAPTISTE DUMAS 59160,3388.2
93,593503550C4644,1.0,3.011091,50.634827,13 RUE JEAN JACQUES ROUSSEAU LOMM 59160,3257.46
94,593503550C4642,1.0,3.011227,50.634736,15 RUE JEAN JACQUES ROUSSEAU LOMM 59160,2679.04
95,593503550C4623,1.0,3.00215,50.63239,20 RUE DU MAIRE E DEREUSE 59160,2532.24
96,593503550C4620,1.0,3.002351,50.632224,14 RUE DU MAIRE E DEREUSE 59160,3514.73
97,593503550C4617,1.0,3.002529,50.632095,8 RUE DU MAIRE E DEREUSE 59160,3588.42
98,593503550C4612,1.0,3.002848,50.631851,65 RUE DE L EGALITE 59160,3431.41
99,593503550C4604,1.0,3.002126,50.631931,7 RUE DU MAIRE E DEREUSE 59160,3126.44
100,593503550C4602,1.0,3.002263,50.631839,3 RUE DU MAIRE E DEREUSE 59160,2440.0
101,593503550C4600,1.0,3.002573,50.631686,69 RUE DE L EGALITE 59160,2791.09
102,593503550C4583,1.0,3.001342,50.632173,24 RUE LYDIE DEREUSE BEHAGUE 59160,3738.79
103,593503550C4578,1.0,3.001054,50.632398,34 RUE LYDIE DEREUSE BEHAGUE 59160,3761.75
104,593503550C4572,1.0,3.001606,50.631529,3 RUE LYDIE DEREUSE BEHAGUE 59160,1760.2
105,593503550C4571,1.0,3.001547,50.631574,5 RUE LYDIE DEREUSE BEHAGUE 59160,1607.2
106,593503550C4567,1.0,3.001284,50.631769,13 RUE LYDIE DEREUSE BEHAGUE 59160,3594.48
107,593503550C4566,1.0,3.001236,50.631819,15 RUE LYDIE DEREUSE BEHAGUE 59160,3009.87
108,593503550C4528,1.0,3.01235,50.63053,15 RUE JEAN PERRIN LOMME 59160,1793.03
109,593503550C4527,1.0,3.012314,50.630592,13 RUE JEAN PERRIN LOMME 59160,2075.85
110,593503550C4524,1.0,3.012134,50.630739,7 RUE JEAN PERRIN LOMME 59160,2654.38
111,593503550C4521,1.0,3.011628,50.630449,3 RUE ALBERT EINSTEIN 59160,2514.6
112,593503550C4519,1.0,3.011782,50.630374,7 RUE ALBERT EINSTEIN 59160,2817.45
113,593503550C4513,1.0,3.012179,50.630095,23 RUE DES BLANCHISSEURS 59160,2801.33
114,593503550C4512,1.0,3.0121,50.630062,21 RUE DES BLANCHISSEURS 59160,3027.72
115,593503550C4506,1.0,3.011627,50.629996,6 RUE ALBERT EINSTEIN 59160,2149.73
116,593503550C4497,2.0,3.019395,50.639087,16 RUE BECKER 59160,3466.16
117,593503550C4493,1.0,3.010896,50.62936,1 RUE DES BLANCHISSEURS 59160,2501.03
118,593503550C4489,1.0,3.011235,50.629545,9 RUE DES BLANCHISSEURS 59160,1913.95
119,593503550C4488,1.0,3.011295,50.629609,11 RUE DES BLANCHISSEURS 59160,3170.29
120,593503550C4479,1.0,3.011188,50.630101,8 RUE ANDRE AMPERE 59160,2751.47
121,593503550C4477,1.0,3.011013,50.630016,12 RUE ANDRE AMPERE 59160,2876.71
122,593503550C4451,1.0,3.014699,50.629362,280 AV ARTHUR NOTEBART 59160,2313.3
123,593503550C4437,2.0,3.015471,50.640222,52 AV DE LA REPUBLIQUE LOMME 59160,2820.97
124,593503550C4436,2.0,3.015593,50.640331,52 AV DE LA REPUBLIQUE LOMME 59160,5230.65
125,593503550C4412,2.0,3.008314,50.634797,60 RUE ANATOLE FRANCE LOMME 59160,2918.85
126,593503550C4410,1.0,3.004666,50.630172,56 RUE HENRI BAILLEUX 59160,2708.62
127,593503550C4356,1.0,3.016671,50.640296,33 AV DE LA REPUBLIQUE LOMME 59160,1880.55
128,593503550C4348,1.0,3.016857,50.640359,25 AV DE LA REPUBLIQUE LOMME 59160,2470.8
129,593503550C4344,2.0,3.016955,50.640393,21 AV DE LA REPUBLIQUE LOMME 59160,6480.38
130,593503550C4332,1.0,3.017258,50.640497,13 AV DE LA REPUBLIQUE LOMME 59160,3339.95
