Type_OSM,id_OSM,lon,lat,tuple Lat-lon,Catégories,Sous_Cat,name
node,5316414391,3.0458958,50.6298166,"(50.6298166,3.0458958)",Entertainment,fast_food,La Rose
node,5976503415,3.0542321,50.6229686,"(50.6229686,3.0542321)",Entertainment,fast_food,La Rotanda
way,65487658,3.0752459,50.6233598,"(50.6233598,3.0752459)",Entertainment,bar,La Rumeur
node,9038206461,3.0453182,50.6360209,"(50.6360209,3.0453182)",Entertainment,fast_food,La Sandwicherie Libanaise
node,10028391268,3.0691340,50.6200709,"(50.6200709,3.0691340)",Entertainment,restaurant,La Table Afghane
node,9023003637,3.0563522,50.6349770,"(50.6349770,3.0563522)",Entertainment,restaurant,La Table d'Édouard
node,7881897331,3.0610870,50.6207450,"(50.6207450,3.0610870)",Entertainment,restaurant,La Table de Sam
node,4183809472,3.0616777,50.6416181,"(50.6416181,3.0616777)",Entertainment,restaurant,La Table de Siam
node,7448518938,3.0677033,50.6433735,"(50.6433735,3.0677033)",Entertainment,restaurant,La Table de Tony
node,6093890609,3.0570541,50.6387555,"(50.6387555,3.0570541)",Entertainment,restaurant,La table du Clarance
node,2914940549,3.0143978,50.6416736,"(50.6416736,3.0143978)",Entertainment,restaurant,La Table du Terrier
node,6905063157,3.0490200,50.6266667,"(50.6266667,3.0490200)",Daily_Life,deli,La tapasta
node,9711117146,3.0641908,50.6316169,"(50.6316169,3.0641908)",Entertainment,fast_food,La Team Croquette
way,41017728,3.0668601,50.6337510,"(50.6337510,3.0668601)",Entertainment,bar,La Terrasse
node,4381067406,3.0679437,50.6438100,"(50.6438100,3.0679437)",Entertainment,restaurant,La Terrasse des Remparts
node,3426407892,3.0374524,50.6258418,"(50.6258418,3.0374524)",Entertainment,restaurant,La Trinacria
node,7508280544,3.0664881,50.6363254,"(50.6363254,3.0664881)",Shopping,travel_agency,La Vallée de la Lune
way,42726950,3.0512863,50.6311775,"(50.6311775,3.0512863)",Culture,theatre,La Verrière
node,5163090898,3.0402718,50.6346052,"(50.6346052,3.0402718)",Entertainment,restaurant,La Vieille Assiette
node,7448518932,3.0667304,50.6428522,"(50.6428522,3.0667304)",Entertainment,restaurant,La Vieille France
node,5654778646,3.0234074,50.6377566,"(50.6377566,3.0234074)",Entertainment,restaurant,La Villa
node,7532319042,3.0583444,50.6243006,"(50.6243006,3.0583444)",Entertainment,restaurant,La Voisinerie de Wazemmes
way,45915909,3.0631608,50.6375266,"(50.6375266,3.0631608)",Entertainment,cafe,La Voute
node,9700066317,3.0618874,50.6375075,"(50.6375075,3.0618874)",Entertainment,cafe,La wilderie
node,9700066318,3.0618652,50.6375161,"(50.6375161,3.0618652)",Daily_Life,florist,La wilderie
node,6179757924,3.0309792,50.6340066,"(50.6340066,3.0309792)",Healthcare,laboratory,Laboratoire Cerballiance Bois-Blancs
node,5976503430,3.0566603,50.6315122,"(50.6315122,3.0566603)",Healthcare,laboratory,Laboratoire d'analyse médicale
way,84932711,3.0842658,50.6418238,"(50.6418238,3.0842658)",Healthcare,laboratory,Laboratoire d'analyses BioQualys
node,2276047065,3.1064278,50.6279133,"(50.6279133,3.1064278)",Healthcare,laboratory,Laboratoire d'analyses médicales
node,6535872816,3.0852540,50.6498828,"(50.6498828,3.0852540)",Healthcare,laboratory,Laboratoire d'analyses médicales - Lille Saint-Maur - Cerballiance
node,6048699968,3.0601926,50.6309218,"(50.6309218,3.0601926)",Healthcare,laboratory,Laboratoire de Biologie Médicale
node,8003901885,3.0477448,50.6346062,"(50.6346062,3.0477448)",Healthcare,laboratory,Laboratoire de Biologie Médicale - Digue
node,7416467297,3.0676673,50.6341861,"(50.6341861,3.0676673)",Healthcare,laboratory,Laboratoire de Biologie Médicale - Lille Molinel
node,8777099817,3.0467967,50.6128307,"(50.6128307,3.0467967)",Healthcare,laboratory,Laboratoire Diagnovie Lille-Sud
way,40943727,3.0428743,50.6238118,"(50.6238118,3.0428743)",Shopping,retail,Lacomblez immobilier
node,7441428398,3.0638238,50.6383796,"(50.6383796,3.0638238)",Shopping,clothes,Lacoste
node,9572810973,3.0644962,50.6350297,"(50.6350297,3.0644962)",Entertainment,cafe,Lacquemant De Lille
way,45899847,3.0639235,50.6342894,"(50.6342894,3.0639235)",Entertainment,fast_food,Lacquemant de Lille
node,5383857971,3.0625858,50.6384257,"(50.6384257,3.0625858)",Entertainment,restaurant,Lakson
node,6984726097,3.0047702,50.6294738,"(50.6294738,3.0047702)",Public_transport,platform,Lamy
node,6984726098,3.0042284,50.6305100,"(50.6305100,3.0042284)",Public_transport,platform,Lamy
node,6159414363,3.0634817,50.6374933,"(50.6374933,3.0634817)",Shopping,fashion_accessories,Lancel
node,6425860476,3.0543079,50.6324874,"(50.6324874,3.0543079)",Entertainment,bar,Lanka Bar
node,4496383796,3.0553769,50.6463646,"(50.6463646,3.0553769)",Entertainment,restaurant,Las Tapas
node,9321288021,3.0892027,50.6310851,"(50.6310851,3.0892027)",Culture,museum,Lasécu
way,42698349,3.0533782,50.6325339,"(50.6325339,3.0533782)",Entertainment,commercial,Laser Game Evolution
way,65209381,3.0610666,50.6227407,"(50.6227407,3.0610666)",Daily_Life,laundry,Lav'Artois
way,85084791,3.1031374,50.6288460,"(50.6288460,3.1031374)",Daily_Life,laundry,Laverie 2000
way,41375717,3.0426205,50.6260327,"(50.6260327,3.0426205)",Daily_Life,laundry,Laverie des stations
way,85090591,3.0884962,50.6294046,"(50.6294046,3.0884962)",Daily_Life,laundry,LAVOFIV
way,40635418,3.0358896,50.6217041,"(50.6217041,3.0358896)",Daily_Life,laundry,Lavotec
way,85088266,3.0923282,50.6222081,"(50.6222081,3.0923282)",Daily_Life,laundry,Lavotec
node,5241464926,3.0678459,50.6237458,"(50.6237458,3.0678459)",Entertainment,restaurant,Layalina
node,6983633933,3.0620611,50.6388432,"(50.6388432,3.0620611)",Entertainment,restaurant,Lazy Susy
way,84939864,3.0905541,50.6510590,"(50.6510590,3.0905541)",Culture,community_centre,Le 140
node,7738058871,3.0464461,50.6209893,"(50.6209893,3.0464461)",Entertainment,cafe,Le 168
node,9532113598,3.0899411,50.6337314,"(50.6337314,3.0899411)",Culture,arts_centre,Le 188
node,8478768570,3.0568988,50.6331110,"(50.6331110,3.0568988)",Entertainment,cafe,Le 22
node,7467898594,3.0588637,50.6380147,"(50.6380147,3.0588637)",Entertainment,restaurant,Le 28
node,5075121573,3.1115537,50.6279917,"(50.6279917,3.1115537)",Entertainment,bar,Le 54
way,832984652,3.0405068,50.6267487,"(50.6267487,3.0405068)",Daily_Life,hairdresser,Le 5e Élément
node,6119981532,3.0590896,50.6228201,"(50.6228201,3.0590896)",Entertainment,cafe,Le 91 Cafe
way,42323972,3.0629106,50.6232701,"(50.6232701,3.0629106)",Entertainment,nightclub,Le B-Floor
node,9065736238,2.9887265,50.6438703,"(50.6438703,2.9887265)",Entertainment,bar,Le Bada Bing
node,9002099217,3.0571089,50.6391448,"(50.6391448,3.0571089)",Entertainment,bar,Le bar à mines
node,5198639330,3.0548476,50.6305825,"(50.6305825,3.0548476)",Entertainment,restaurant,Le Bar à Pizzas
node,7042123266,3.0601089,50.6406041,"(50.6406041,3.0601089)",Entertainment,pub,Le bar braz
node,4422083927,3.0522265,50.6310924,"(50.6310924,3.0522265)",Entertainment,bar,Le Bar des Six Roses
node,1402607822,3.0620668,50.6413705,"(50.6413705,3.0620668)",Entertainment,restaurant,Le Barbier qui fume
node,5964926384,3.0769690,50.6402152,"(50.6402152,3.0769690)",Entertainment,restaurant,Le Barbier qui fume
node,9983956178,3.0629594,50.6361474,"(50.6361474,3.0629594)",Entertainment,restaurant,Le Barbier qui fume Rihour
node,8301224645,3.0215288,50.6293421,"(50.6293421,3.0215288)",Entertainment,restaurant,Le barboteur
node,2530847662,3.0618937,50.6374031,"(50.6374031,3.0618937)",Entertainment,restaurant,Le Barbue d'Anvers
node,5226716622,3.0649600,50.6392460,"(50.6392460,3.0649600)",Entertainment,bar,Le Barillet
node,6335434108,2.9810566,50.6514817,"(50.6514817,2.9810566)",Entertainment,bar,Le Barley's Pub
node,4432802852,3.0479967,50.6250610,"(50.6250610,3.0479967)",Entertainment,bar,Le Bartabas
node,5103844523,3.0545333,50.6295132,"(50.6295132,3.0545333)",Shopping,books,Le Bateau Livre
node,5709628386,3.0534885,50.6330311,"(50.6330311,3.0534885)",Entertainment,cafe,Le Bayard
node,9045494580,3.0626554,50.6302935,"(50.6302935,3.0626554)",Entertainment,restaurant,Le Beau café
node,5761496453,3.0641179,50.6375022,"(50.6375022,3.0641179)",Entertainment,restaurant,Le Beffroi
node,6331894412,3.0503992,50.6255562,"(50.6255562,3.0503992)",Entertainment,cafe,Le Béni Saf
node,9548356275,3.0583666,50.6395685,"(50.6395685,3.0583666)",Entertainment,restaurant,Le Berliner
node,8989274101,3.0635727,50.6427074,"(50.6427074,3.0635727)",Entertainment,restaurant,Le Bettigny
node,7614742841,3.0555887,50.6290365,"(50.6290365,3.0555887)",Entertainment,bar,Le bidule
node,9118090709,3.0237682,50.6178433,"(50.6178433,3.0237682)",Entertainment,restaurant,Le Big Ben
node,7832343789,3.0896635,50.6323701,"(50.6323701,3.0896635)",Entertainment,cafe,Le Biglemoi
node,6525658393,3.0201789,50.6392417,"(50.6392417,3.0201789)",Entertainment,restaurant,Le Biplet
node,1998722266,3.0789078,50.6282922,"(50.6282922,3.0789078)",Entertainment,restaurant,Le Bistronome
node,9005239429,3.0593037,50.6409062,"(50.6409062,3.0593037)",Entertainment,bar,Le Bistrot de la reine
node,1525093496,3.0719665,50.6271333,"(50.6271333,3.0719665)",Entertainment,bar,Le Bistrot de St So
node,2642036231,3.0661265,50.6421205,"(50.6421205,3.0661265)",Entertainment,restaurant,Le bistrot Lillois
node,7467898591,3.0591467,50.6383528,"(50.6383528,3.0591467)",Entertainment,restaurant,Le Bistrot Thaï
node,2209127103,3.0687399,50.6385357,"(50.6385357,3.0687399)",Entertainment,pub,Le Black Night
node,2684780752,3.0583136,50.6381492,"(50.6381492,3.0583136)",Entertainment,restaurant,Le Bloempot
node,4422083929,3.0495596,50.6312948,"(50.6312948,3.0495596)",Entertainment,bar,Le Bô Bar
node,2611480428,3.0793238,50.6271949,"(50.6271949,3.0793238)",Public_transport,platform,Le Bois Habité
node,2611480437,3.0787613,50.6275080,"(50.6275080,3.0787613)",Public_transport,platform,Le Bois Habité
node,9964058004,3.0615606,50.6282895,"(50.6282895,3.0615606)",Entertainment,restaurant,Le bon bistrot
node,10154338668,3.0572074,50.6273829,"(50.6273829,3.0572074)",Entertainment,fast_food,Le Bon Jeune
node,2101201538,3.0618167,50.6282904,"(50.6282904,3.0618167)",Entertainment,fast_food,Le Bon Snack
node,6696678464,3.0643092,50.6315820,"(50.6315820,3.0643092)",Entertainment,bar,Le Boucan
way,40267927,3.0405427,50.6343389,"(50.6343389,3.0405427)",Entertainment,restaurant,Le Bouddhabar'bu
node,7647169243,3.0466553,50.6262718,"(50.6262718,3.0466553)",Entertainment,cafe,Le boudoir
node,9914682164,3.0564957,50.6207024,"(50.6207024,3.0564957)",Entertainment,bar,Le Bouquet
node,7216635200,3.0727155,50.6210977,"(50.6210977,3.0727155)",Entertainment,fast_food,Le Braisé
node,9050061551,3.0626959,50.6410405,"(50.6410405,3.0626959)",Entertainment,restaurant,Le Braque
node,5163090884,3.0496924,50.6272787,"(50.6272787,3.0496924)",Entertainment,bar,Le Brice
node,7279652791,3.0626373,50.6326382,"(50.6326382,3.0626373)",Entertainment,restaurant,Le Broc Lille-Centre
node,7279652790,3.0654864,50.6413104,"(50.6413104,3.0654864)",Entertainment,restaurant,Le Broc Vieux-Lille
node,2096356684,3.0698043,50.6274987,"(50.6274987,3.0698043)",Entertainment,cafe,Le Bugatti
node,5274237700,3.0653585,50.6355214,"(50.6355214,3.0653585)",Shopping,shoes,Le Buzz
node,7737709367,3.0650048,50.6384721,"(50.6384721,3.0650048)",Shopping,shoes,Le Buzz Lab
node,5316414396,3.0451238,50.6303230,"(50.6303230,3.0451238)",Entertainment,cafe,Le Caf&diskaire
